,Player,Nation,Pos,Squad,Comp,Age,Playing Time_MP,Playing Time_Min,Performance_GA,Performance_GA90,Performance_Save%,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Born,Performance_CrdY,Performance_CrdR,Goals_FK,Goals_CK,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Att,Launched_Cmp%,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Passes_Att,Passes_Launch%,Passes_AvgLen,Sweeper_#OPA/90,Sweeper_AvgDist,Crosses_Opp,Crosses_Stp%,Comp_Score,psxg_score,saving_ability_score_18_19,Distribution_Score_18_19,Ball_Quality_Score_18_19,Positioning_Score_18_19,Sweeper_Score_18_19
12,Asmir Begović,ba BIH,GK,Bournemouth,eng Premier League,31,24,2160.0,47,1.96,56.7,5,20.8,2,2,0,0,1987,0,0,0,5,34.5,0.32,-10.5,-0.44,328,39.3,192,67.7,49.9,466,42.5,35.9,0.67,11.3,365,6.6,100,0.27647058823529413,57.56781193490055,68.23260437375745,48.740053050397876,63.94712362344393,49.38654685925429
13,Diego Benaglio,ch SUI,GK,Monaco,fr Ligue 1,34,23,2057.0,38,1.66,63.5,4,18.2,5,3,2,0,1983,2,0,0,3,34.2,0.31,-2.8,-0.12,225,38.7,186,50.5,41.1,462,28.4,30.3,0.66,12.6,327,2.8,45,0.14705882352941177,54.74683544303798,53.250497017892656,48.52785145888594,63.27735736606709,52.99294591871011
14,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,25,35,3150.0,29,0.83,81.1,16,45.7,5,2,3,0,1993,1,0,0,5,40.4,0.25,12.4,0.35,344,36.9,308,51.6,41.2,838,22.1,28.5,0.4,11.5,559,3.0,45,0.906993006993007,84.58408679927669,52.45129224652088,68.47480106100795,81.86230990837402,46.08624454148472
15,Etrit Berisha,al ALB,GK,Atalanta,it Serie A,29,18,1620.0,25,1.39,61.9,5,27.8,2,1,0,1,1989,1,0,1,5,18.2,0.27,-3.8,-0.21,199,45.7,135,80.0,51.7,345,26.4,30.3,1.06,14.5,208,3.8,60,0.1638655462184874,65.16274864376132,78.93240556660041,42.320954907161806,37.793982148762645,64.21775277124623
16,Paul Bernardoni,fr FRA,GK,Nîmes,fr Ligue 1,21,38,3420.0,58,1.53,70.0,10,26.3,5,4,1,0,1997,0,0,0,4,60.4,0.31,3.4,0.09,690,33.9,290,83.4,55.2,825,54.3,40.0,0.87,14.5,491,5.7,45,0.46643356643356637,63.53526220614829,75.0437375745527,67.78514588859417,79.73989788681956,61.489334900906954
19,Rubén Blanco,es ESP,GK,Celta Vigo,es La Liga,23,25,2250.0,40,1.6,67.0,6,24.0,5,4,0,1,1995,2,0,3,3,40.7,0.34,0.7,0.03,432,38.4,220,75.9,56.8,595,44.5,38.0,1.2,15.6,351,3.4,80,0.33426573426573425,61.03978300180832,77.10735586481115,55.58355437665782,44.01775750683965,69.40124286194155
20,Artur Boruc,pl POL,GK,Bournemouth,eng Premier League,38,12,1080.0,18,1.5,73.2,4,33.3,3,3,0,0,1980,2,0,2,1,15.9,0.24,-2.1,-0.17,167,34.1,112,65.2,48.2,236,39.8,36.6,0.75,14.3,213,1.9,100,0.13529411764705884,71.13019891500905,61.99403578528829,36.53846153846154,41.86001085858897,59.189200537453814
22,Yassine Bounou,ma MAR,GK,Girona,es La Liga,27,32,2862.0,43,1.35,77.7,8,25.0,6,6,0,0,1991,2,0,2,5,49.7,0.27,7.7,0.24,471,38.6,264,67.8,49.5,718,40.7,37.1,0.6,13.1,439,3.4,80,0.6769230769230768,62.124773960217,67.38568588469185,62.108753315649864,54.591618018183695,53.57364796775277
23,Fabian Bredlow,de GER,GK,Nürnberg,de Bundesliga,23,14,1127.0,28,2.24,54.1,2,16.7,2,0,1,1,1995,1,0,0,1,22.0,0.36,-6.0,-0.48,188,32.4,119,47.1,43.0,352,37.5,32.9,0.8,12.7,171,0.6,50,0.2008403361344538,53.11934900542496,49.33797216699802,42.69230769230769,51.273346408442094,55.29182062479006
24,Gianluigi Buffon,it ITA,GK,Paris S-G,fr Ligue 1,40,17,1530.0,18,1.06,73.8,6,35.3,2,1,1,0,1978,0,0,1,2,17.9,0.25,2.9,0.17,53,39.6,108,24.1,31.2,301,9.0,21.1,0.94,16.4,174,1.1,45,0.4419580419580419,73.3001808318264,35.0,39.9867374005305,41.45498902645851,67.97531071548539
