,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
16,Ragnar Ache,de GER,FWDF,Eint Frankfurt,de Bundesliga,22,1998,7,0,100,1.1,1,0,1,0,0,1,0,0.90,0.00,0.90,0.90,0.90,0.1,0.1,0.0,0.1,0.13,0.00,0.13,0.13,0.13,Matches,dc38e3bc
17,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,1991,30,26,2330,25.9,1,2,1,0,0,5,0,0.04,0.08,0.12,0.04,0.12,1.0,1.0,2.6,3.6,0.04,0.10,0.14,0.04,0.14,Matches,81442ecb
18,Che Adams,sct SCO,FW,Southampton,eng Premier League,24,1996,36,30,2667,29.6,9,5,9,0,0,1,0,0.30,0.17,0.47,0.30,0.47,9.8,9.8,5.0,14.8,0.33,0.17,0.50,0.33,0.50,Matches,f2bf1b0f
19,Tyler Adams,us USA,MFDF,RB Leipzig,de Bundesliga,21,1999,27,21,1850,20.6,1,1,1,0,0,3,0,0.05,0.05,0.10,0.05,0.10,1.3,1.3,0.9,2.2,0.07,0.04,0.11,0.07,0.11,Matches,2b09d998
20,Sargis Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,27,1993,18,3,479,5.3,2,3,2,0,0,2,0,0.38,0.56,0.94,0.38,0.94,2.1,2.1,2.3,4.5,0.40,0.44,0.84,0.40,0.84,Matches,22919e97
21,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,1997,33,33,2953,32.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.3,1.4,0.03,0.01,0.04,0.03,0.04,Matches,c81d773d
22,Bobby Adekanye,nl NED,FWMF,Cádiz,es La Liga,21,1999,3,0,36,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.85,0.00,0.85,0.85,0.85,Matches,3ed84b2c
23,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20,2000,35,25,2418,26.9,2,5,2,0,0,6,0,0.07,0.19,0.26,0.07,0.26,1.9,1.9,4.4,6.3,0.07,0.16,0.23,0.07,0.23,Matches,26777636
24,Andrea Adorante,it ITA,FW,Parma,it Serie A,20,2000,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,7005ac66
25,Adrián,es ESP,GK,Liverpool,eng Premier League,33,1987,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,f76e6b4e
26,Martin Agirregabiria,es ESP,DFMF,Alavés,es La Liga,24,1996,26,16,1558,17.3,0,1,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06,0.1,0.1,0.7,0.9,0.01,0.04,0.05,0.01,0.05,Matches,355c883a
27,Lucien Agoume,fr FRA,MF,Spezia,it Serie A,18,2002,12,9,800,8.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Matches,8bc8829a
28,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,20,1999,15,8,701,7.8,1,0,1,0,0,0,0,0.13,0.00,0.13,0.13,0.13,0.6,0.6,0.5,1.1,0.08,0.06,0.14,0.08,0.14,Matches,cb6d81b3
29,Kevin Agudelo,co COL,FW,Spezia,it Serie A,21,1998,29,14,1356,15.1,1,2,1,0,0,4,0,0.07,0.13,0.20,0.07,0.20,1.5,1.5,1.3,2.8,0.10,0.09,0.19,0.10,0.19,Matches,46fa7204
30,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24,1996,35,35,3147,35.0,3,1,3,0,0,6,0,0.09,0.03,0.11,0.09,0.11,3.2,3.2,0.7,4.0,0.09,0.02,0.11,0.09,0.11,Matches,288e1e13
31,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,32,1988,12,7,559,6.2,4,1,3,1,2,0,0,0.64,0.16,0.81,0.48,0.64,3.5,1.9,1.2,3.1,0.56,0.19,0.75,0.31,0.50,Matches,4d034881
32,Ruben Aguilar,fr FRA,DFMF,Monaco,fr Ligue 1,27,1993,33,27,2225,24.7,1,3,1,0,0,6,0,0.04,0.12,0.16,0.04,0.16,0.9,0.9,4.7,5.6,0.03,0.19,0.23,0.03,0.23,Matches,3dd738a1
33,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,18,2002,6,3,252,2.8,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.3,0.08,0.01,0.09,0.08,0.09,Matches,a6c58494
34,Matteo Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21,1999,20,10,899,10.0,2,0,2,0,0,0,0,0.20,0.00,0.20,0.20,0.20,1.4,1.4,0.2,1.5,0.14,0.02,0.16,0.14,0.16,Matches,5ea9ebd4
