,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
1580,Jordi Masip,es ESP,GK,Valladolid,es La Liga,30,1989,35,35,3150,35.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,8fae77ea
1581,Arthur Masuaku,cd COD,DF,West Ham,eng Premier League,25,1993,17,10,937,10.4,0,1,0,0,0,6,1,0.00,0.10,0.10,0.00,0.10,0.1,0.1,1.2,1.3,0.01,0.11,0.13,0.01,0.13,Matches,57df7a11
1582,Jaime Mata,es ESP,FW,Getafe,es La Liga,30,1988,34,33,2747,30.5,11,3,8,3,4,14,0,0.36,0.10,0.46,0.26,0.36,11.0,7.9,2.9,10.8,0.36,0.09,0.46,0.26,0.35,Matches,02319ad7
1583,Juan Mata,es ESP,MFFW,Manchester Utd,eng Premier League,31,1988,19,8,758,8.4,0,2,0,0,0,1,0,0.00,0.24,0.24,0.00,0.24,1.1,1.1,2.1,3.2,0.13,0.25,0.38,0.13,0.38,Matches,29733c72
1584,Aleš Matějů,cz CZE,DF,Brescia,it Serie A,23,1996,31,28,2548,28.3,0,1,0,0,0,10,1,0.00,0.04,0.04,0.00,0.04,0.4,0.4,0.9,1.3,0.01,0.03,0.05,0.01,0.05,Matches,deb748c9
1585,Jean-Philippe Mateta,fr FRA,FW,Mainz 05,de Bundesliga,22,1997,18,12,1053,11.7,3,1,2,1,1,2,1,0.26,0.09,0.34,0.17,0.26,5.9,5.2,1.2,6.4,0.51,0.10,0.61,0.44,0.54,Matches,50e6dc35
1586,Nemanja Matić,rs SRB,MF,Manchester Utd,eng Premier League,30,1988,21,18,1581,17.6,0,2,0,0,0,3,0,0.00,0.11,0.11,0.00,0.11,0.2,0.2,0.7,1.0,0.01,0.04,0.05,0.01,0.05,Matches,eb7822d7
1587,Joël Matip,cm CMR,DF,Liverpool,eng Premier League,27,1991,9,8,703,7.8,1,0,1,0,0,0,0,0.13,0.00,0.13,0.13,0.13,0.3,0.3,0.0,0.4,0.04,0.00,0.05,0.04,0.05,Matches,b217ef29
1588,Rabbi Matondo,wls WAL,FWMF,Schalke 04,de Bundesliga,18,2000,20,14,1162,12.9,2,0,2,0,0,1,0,0.15,0.00,0.15,0.15,0.15,3.2,3.2,0.8,3.9,0.24,0.06,0.30,0.24,0.30,Matches,33144cc5
1589,Alessandro Matri,it ITA,FWMF,Brescia,it Serie A,34,1984,8,0,89,1.0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.6,0.36,0.26,0.62,0.36,0.62,Matches,58d97e77
1590,Federico Mattiello,it ITA,DF,Cagliari,it Serie A,24,1995,18,9,930,10.3,0,1,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10,0.2,0.2,1.1,1.3,0.02,0.10,0.13,0.02,0.13,Matches,fba81826
1591,Blaise Matuidi,fr FRA,MF,Juventus,it Serie A,32,1987,35,23,2237,24.9,0,2,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,0.9,0.9,1.6,2.5,0.04,0.07,0.10,0.04,0.10,Matches,c0cddebe
1592,Neal Maupay,fr FRA,FW,Brighton,eng Premier League,22,1996,37,30,2766,30.7,10,3,9,1,2,3,0,0.33,0.10,0.42,0.29,0.39,13.4,11.8,2.1,13.9,0.44,0.07,0.50,0.38,0.45,Matches,4bcf39f6
1593,Stephy Mavididi,eng ENG,FWMF,Dijon,fr Ligue 1,21,1998,24,16,1391,15.5,5,1,5,0,0,0,0,0.32,0.06,0.39,0.32,0.39,2.9,2.9,0.8,3.6,0.19,0.05,0.24,0.19,0.24,Matches,30144daa
1594,Philipp Max,de GER,DF,Augsburg,de Bundesliga,25,1993,31,31,2706,30.1,8,6,7,1,1,5,0,0.27,0.20,0.47,0.23,0.43,3.6,2.8,5.4,8.3,0.12,0.18,0.30,0.09,0.27,Matches,826e8b63
1595,Alexandru Maxim,ro ROU,MFDF,Mainz 05,de Bundesliga,29,1990,5,0,117,1.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.7,0.8,0.09,0.53,0.62,0.09,0.62,Matches,61fc9685
1596,Eric Maxim Choupo-Moting,cm CMR,FWMF,Paris S-G,fr Ligue 1,30,1989,9,5,451,5.0,3,1,3,0,0,0,0,0.60,0.20,0.80,0.60,0.80,2.6,2.6,0.6,3.2,0.51,0.12,0.63,0.51,0.63,Matches,0e6bc38c
1597,Kévin Mayi,ga GAB,FWMF,Brest,fr Ligue 1,26,1993,2,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,6a26e528
1598,Borja Mayoral,es ESP,FW,Levante,es La Liga,22,1997,34,24,2140,23.8,8,2,8,0,0,2,0,0.34,0.08,0.42,0.34,0.42,10.1,10.1,2.7,12.7,0.42,0.11,0.54,0.42,0.54,Matches,64e8ed6d
1599,Luca Mazzitelli,it ITA,MF,Sassuolo,it Serie A,23,1995,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,dc61b402
1600,Kevin Mbabu,ch SUI,DF,Wolfsburg,de Bundesliga,24,1995,20,18,1696,18.8,3,1,3,0,0,4,0,0.16,0.05,0.21,0.16,0.21,1.7,1.7,2.7,4.4,0.09,0.14,0.23,0.09,0.23,Matches,493924a7
1601,Kylian Mbappé,fr FRA,FW,Paris S-G,fr Ligue 1,20,1998,20,17,1513,16.8,18,5,18,0,0,0,0,1.07,0.30,1.37,1.07,1.37,15.6,15.6,9.5,25.1,0.93,0.57,1.49,0.93,1.49,Matches,42fd9c7f
1602,Ibrahima Mbaye,sn SEN,DF,Bologna,it Serie A,24,1994,20,16,1507,16.7,0,3,0,0,0,5,0,0.00,0.18,0.18,0.00,0.18,0.7,0.7,1.1,1.8,0.04,0.06,0.11,0.04,0.11,Matches,cfbf9881
1603,Loïc Mbe Soh,fr FRA,DF,Paris S-G,fr Ligue 1,18,2001,1,1,58,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,8f534f8e
1604,Isaac Mbenza,be BEL,FW,Amiens,fr Ligue 1,23,1996,3,1,84,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.24,0.20,0.44,0.24,0.44,Matches,aa1a8c7e
1605,Nathanael Mbuku,fr FRA,FWMF,Reims,fr Ligue 1,17,2002,11,3,395,4.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.7,0.11,0.04,0.15,0.11,0.15,Matches,46750e9c
1606,James McArthur,sct SCO,MF,Crystal Palace,eng Premier League,31,1987,37,37,3090,34.3,0,3,0,0,0,6,0,0.00,0.09,0.09,0.00,0.09,2.0,2.0,2.4,4.4,0.06,0.07,0.13,0.06,0.13,Matches,cee31595
1607,Oliver McBurnie,sct SCO,FW,Sheffield Utd,eng Premier League,23,1996,36,24,2113,23.5,6,0,6,0,0,4,0,0.26,0.00,0.26,0.26,0.26,7.7,7.7,1.1,8.8,0.33,0.05,0.38,0.33,0.38,Matches,78b8ac63
1608,Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,29,1989,28,28,2520,28.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,36c2ca73
1609,James McCarthy,ie IRL,MF,Crystal Palace,eng Premier League,28,1990,33,16,1680,18.7,0,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,1.3,1.8,0.03,0.07,0.10,0.03,0.10,Matches,64b08de7
1610,John McGinn,sct SCO,MF,Aston Villa,eng Premier League,24,1994,28,27,2312,25.7,3,3,3,0,0,3,0,0.12,0.12,0.23,0.12,0.23,3.9,3.9,2.5,6.4,0.15,0.10,0.25,0.15,0.25,Matches,90f91999
1611,David McGoldrick,ie IRL,FW,Sheffield Utd,eng Premier League,31,1987,28,22,1815,20.2,2,2,2,0,0,2,0,0.10,0.10,0.20,0.10,0.20,8.0,8.0,2.3,10.3,0.40,0.12,0.51,0.40,0.51,Matches,dbe56a33
1612,Michael McGovern,nir NIR,GK,Norwich City,eng Premier League,35,1984,2,1,159,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,51a19d04
1613,Weston McKennie,us USA,MFDF,Schalke 04,de Bundesliga,20,1998,28,24,2074,23.0,3,0,3,0,0,8,0,0.13,0.00,0.13,0.13,0.13,2.7,2.7,2.9,5.6,0.12,0.13,0.24,0.12,0.24,Matches,01c3aff5
1614,Kenny McLean,sct SCO,MF,Norwich City,eng Premier League,27,1992,37,32,2968,33.0,1,1,1,0,0,5,0,0.03,0.03,0.06,0.03,0.06,1.4,1.4,2.6,4.0,0.04,0.08,0.12,0.04,0.12,Matches,471f16b3
1615,Dwight McNeil,eng ENG,MF,Burnley,eng Premier League,19,1999,38,38,3338,37.1,2,6,2,0,0,5,0,0.05,0.16,0.22,0.05,0.22,2.3,2.3,7.7,10.0,0.06,0.21,0.27,0.06,0.27,Matches,fc15fb84
1616,Scott McTominay,sct SCO,MF,Manchester Utd,eng Premier League,22,1996,27,20,1772,19.7,4,1,4,0,0,2,0,0.20,0.05,0.25,0.20,0.25,2.2,2.2,1.0,3.2,0.11,0.05,0.16,0.11,0.16,Matches,d93c2511
1617,Biagio Meccariello,it ITA,DF,Lecce,it Serie A,28,1991,14,8,768,8.5,1,0,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,0.4,0.4,0.2,0.5,0.05,0.02,0.06,0.05,0.06,Matches,1eeeff8a
1618,Gary Medel,cl CHI,MF,Bologna,it Serie A,31,1987,23,22,1784,19.8,0,0,0,0,0,10,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.01,0.01,0.02,0.01,0.02,Matches,563a68ad
1619,Ben Mee,eng ENG,DF,Burnley,eng Premier League,29,1989,32,32,2880,32.0,1,1,1,0,0,7,0,0.03,0.03,0.06,0.03,0.06,1.7,1.7,1.6,3.2,0.05,0.05,0.10,0.05,0.10,Matches,8df7a2fb
1620,Joshua Mees,de GER,MFFW,Union Berlin,de Bundesliga,23,1996,15,1,325,3.6,0,1,0,0,0,1,0,0.00,0.28,0.28,0.00,0.28,0.4,0.4,0.5,0.9,0.11,0.13,0.24,0.11,0.24,Matches,4b6dd263
1621,Admir Mehmedi,ch SUI,MFFW,Wolfsburg,de Bundesliga,28,1991,21,14,1200,13.3,2,2,2,0,0,0,0,0.15,0.15,0.30,0.15,0.30,1.6,1.6,2.0,3.7,0.12,0.15,0.28,0.12,0.28,Matches,b500b384
1622,Soualiho Meïté,fr FRA,MF,Torino,it Serie A,25,1994,33,23,2201,24.5,0,2,0,0,0,5,0,0.00,0.08,0.08,0.00,0.08,1.2,1.2,1.7,2.9,0.05,0.07,0.12,0.05,0.12,Matches,5cec2c74
1623,Farid El Melali,dz ALG,MFFW,Angers,fr Ligue 1,22,1997,8,4,306,3.4,3,0,3,0,0,0,0,0.88,0.00,0.88,0.88,0.88,1.4,1.4,0.1,1.5,0.41,0.02,0.44,0.41,0.44,Matches,d21e361a
1624,Óscar Melendo,es ESP,MFFW,Espanyol,es La Liga,21,1997,24,12,1115,12.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.5,0.6,0.01,0.04,0.05,0.01,0.05,Matches,379652be
1625,Gonzalo Melero,es ESP,MF,Levante,es La Liga,25,1994,25,14,1236,13.7,2,1,1,1,1,4,0,0.15,0.07,0.22,0.07,0.15,3.1,2.3,1.9,4.3,0.23,0.14,0.37,0.17,0.31,Matches,3902e91b
1626,Arthur Melo,br BRA,MF,Barcelona,es La Liga,22,1996,21,14,1182,13.1,3,3,3,0,0,1,0,0.23,0.23,0.46,0.23,0.46,1.3,1.3,1.7,3.0,0.10,0.13,0.23,0.10,0.23,Matches,48b3dd60
1627,Memphis,nl NED,FWMF,Lyon,fr Ligue 1,25,1994,13,12,1018,11.3,9,2,8,1,1,0,0,0.80,0.18,0.97,0.71,0.88,4.7,3.9,2.6,6.4,0.41,0.23,0.64,0.34,0.57,Matches,8f696594
1628,Pedro Mendes,pt POR,DF,Montpellier,fr Ligue 1,28,1990,16,16,1376,15.3,1,0,1,0,0,10,1,0.07,0.00,0.07,0.07,0.07,1.7,1.7,0.1,1.8,0.11,0.00,0.12,0.11,0.12,Matches,6690ef25
1629,Thiago Mendes,br BRA,MF,Lyon,fr Ligue 1,27,1992,22,21,1812,20.1,0,6,0,0,0,4,1,0.00,0.30,0.30,0.00,0.30,1.2,1.2,1.4,2.6,0.06,0.07,0.13,0.06,0.13,Matches,c6e5d20f
1630,Brais Méndez,es ESP,MFFW,Celta Vigo,es La Liga,22,1997,31,15,1477,16.4,0,2,0,0,0,4,0,0.00,0.12,0.12,0.00,0.12,2.1,2.1,1.0,3.1,0.13,0.06,0.19,0.13,0.19,Matches,c9e39d91
1631,Édgar Méndez,es ESP,MFFW,Alavés,es La Liga,29,1990,16,10,864,9.6,1,0,1,0,0,3,0,0.10,0.00,0.10,0.10,0.10,0.5,0.5,0.6,1.1,0.05,0.07,0.12,0.05,0.12,Matches,aed746df
1632,Stiven Mendoza,co COL,FWMF,Amiens,fr Ligue 1,27,1992,15,12,1101,12.2,5,0,5,0,0,2,0,0.41,0.00,0.41,0.41,0.41,3.6,3.6,0.7,4.3,0.30,0.06,0.35,0.30,0.35,Matches,e68f2cb4
1633,Alexandre Mendy,gw GNB,FW,Brest,fr Ligue 1,25,1994,20,9,899,10.0,3,1,3,0,1,3,0,0.30,0.10,0.40,0.30,0.40,3.9,3.2,0.4,3.5,0.39,0.04,0.43,0.32,0.35,Matches,e067808c
1634,Benjamin Mendy,fr FRA,DF,Manchester City,eng Premier League,25,1994,19,18,1492,16.6,0,2,0,0,0,3,0,0.00,0.12,0.12,0.00,0.12,0.4,0.4,1.4,1.8,0.02,0.09,0.11,0.02,0.11,Matches,5271c8f1
1635,Edouard Mendy,sn SEN,GK,Rennes,fr Ligue 1,27,1992,24,24,2160,24.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,33887998
1636,Ferland Mendy,fr FRA,DF,Real Madrid,es La Liga,24,1995,25,19,1809,20.1,1,3,1,0,0,8,1,0.05,0.15,0.20,0.05,0.20,0.6,0.6,2.4,3.0,0.03,0.12,0.15,0.03,0.15,Matches,3cefcaef
1637,Nampalys Mendy,sn SEN,MF,Leicester City,eng Premier League,27,1992,7,4,291,3.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.03,0.04,0.01,0.04,Matches,1598599e
1638,Hamza Mendyl,ma MAR,DF,Dijon,fr Ligue 1,21,1997,18,16,1441,16.0,1,0,1,0,0,7,1,0.06,0.00,0.06,0.06,0.06,0.5,0.5,1.0,1.5,0.03,0.06,0.09,0.03,0.09,Matches,f99fe221
1639,Chris Mepham,wls WAL,DF,Bournemouth,eng Premier League,21,1997,12,10,912,10.1,1,0,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,0.9,0.9,0.1,1.0,0.09,0.01,0.10,0.09,0.10,Matches,fed96827
1640,Levent Mercan,de GER,MFFW,Schalke 04,de Bundesliga,18,2000,5,1,71,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.06,0.00,0.06,0.06,0.06,Matches,33340bd6
1641,Jorge Meré,es ESP,DF,Köln,de Bundesliga,22,1997,11,5,619,6.9,1,0,1,0,0,4,1,0.15,0.00,0.15,0.15,0.15,0.8,0.8,0.1,0.9,0.11,0.01,0.13,0.11,0.13,Matches,9f979eb2
1642,Alex Meret,it ITA,GK,Napoli,it Serie A,22,1997,22,21,1951,21.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,9413b19f
1643,Fran Mérida,es ESP,MF,Osasuna,es La Liga,29,1990,23,12,1161,12.9,0,1,0,0,0,9,1,0.00,0.08,0.08,0.00,0.08,0.4,0.4,0.7,1.0,0.03,0.05,0.08,0.03,0.08,Matches,0e50f929
1644,Mikel Merino,es ESP,MF,Real Sociedad,es La Liga,23,1996,36,35,3139,34.9,5,1,5,0,0,9,0,0.14,0.03,0.17,0.14,0.17,3.1,3.1,2.1,5.2,0.09,0.06,0.15,0.09,0.15,Matches,d080ed5e
1645,Sabin Merino,es ESP,FW,Leganés,es La Liga,27,1992,2,1,78,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.07,0.07,0.00,0.07,Matches,1d5f96d9
1646,Yıldırım Mert Çetin,tr TUR,DF,Roma,it Serie A,22,1997,6,2,257,2.9,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.07,0.00,0.07,0.07,0.07,Matches,c730da00
1647,Dries Mertens,be BEL,FW,Napoli,it Serie A,32,1987,31,18,1689,18.8,9,7,9,0,0,5,0,0.48,0.37,0.85,0.48,0.85,6.0,6.0,5.7,11.7,0.32,0.31,0.62,0.32,0.62,Matches,89b2c8a9
1648,Roque Mesa,es ESP,MF,Leganés,es La Liga,30,1989,29,22,2012,22.4,1,3,1,0,0,11,0,0.04,0.13,0.18,0.04,0.18,1.4,1.4,2.6,4.0,0.06,0.12,0.18,0.06,0.18,Matches,7c4243d4
1649,Lionel Messi,ar ARG,FW,Barcelona,es La Liga,32,1987,33,32,2880,32.0,25,21,20,5,5,4,0,0.78,0.66,1.44,0.62,1.28,19.4,15.4,15.4,30.8,0.61,0.48,1.09,0.48,0.96,Matches,d70ce98e
1650,Thomas Meunier,be BEL,DF,Paris S-G,fr Ligue 1,27,1991,16,14,1242,13.8,0,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,0.4,0.4,2.5,2.9,0.03,0.18,0.21,0.03,0.21,Matches,e162b013
1651,Mexer,mz MOZ,DF,Bordeaux,fr Ligue 1,30,1988,19,16,1488,16.5,0,2,0,0,0,5,0,0.00,0.12,0.12,0.00,0.12,0.5,0.5,0.2,0.7,0.03,0.01,0.04,0.03,0.04,Matches,ce492295
1652,Max Meyer,de GER,MFFW,Crystal Palace,eng Premier League,23,1995,17,6,655,7.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.7,0.07,0.03,0.10,0.07,0.10,Matches,eba42d2b
1653,Kingsley Michael,ng NGA,MF,Bologna,it Serie A,19,1999,1,1,76,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.11,0.11,0.00,0.11,Matches,e63e122d
1654,Míchel,es ESP,MF,Valladolid,es La Liga,31,1988,29,27,2178,24.2,1,2,0,1,1,6,0,0.04,0.08,0.12,0.00,0.08,1.3,0.5,2.4,2.9,0.05,0.10,0.15,0.02,0.12,Matches,418f8f61
1655,Sven Michel,de GER,FW,Paderborn 07,de Bundesliga,29,1990,29,13,1376,15.3,5,1,5,0,0,7,0,0.33,0.07,0.39,0.33,0.39,5.6,5.6,1.7,7.4,0.37,0.11,0.48,0.37,0.48,Matches,1e274a0a
1656,Miguel,es ESP,FW,Valladolid,es La Liga,19,1999,7,2,232,2.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.01,0.04,0.03,0.04,Matches,6763373d
1657,Florian Miguel,fr FRA,DF,Nîmes,fr Ligue 1,22,1996,24,23,2056,22.8,1,0,1,0,0,8,1,0.04,0.00,0.04,0.04,0.04,1.3,1.3,1.1,2.4,0.06,0.05,0.10,0.06,0.10,Matches,b66d1d8a
1658,Georges Mikautadze,ge GEO,FW,Metz,fr Ligue 1,18,2000,1,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.34,0.00,0.34,0.34,0.34,Matches,4788cb6b
1659,Nikola Milenković,rs SRB,DF,Fiorentina,it Serie A,21,1997,37,36,3258,36.2,5,0,5,0,0,9,0,0.14,0.00,0.14,0.14,0.14,2.6,2.6,0.3,2.9,0.07,0.01,0.08,0.07,0.08,Matches,bee704fc
1660,Arkadiusz Milik,pl POL,FW,Napoli,it Serie A,25,1994,26,19,1747,19.4,11,0,11,0,0,5,0,0.57,0.00,0.57,0.57,0.57,9.8,9.8,1.5,11.3,0.50,0.08,0.58,0.50,0.58,Matches,85613cf0
1661,Sergej Milinković-Savić,rs SRB,MF,Lazio,it Serie A,24,1995,37,35,3029,33.7,7,4,7,0,0,9,0,0.21,0.12,0.33,0.21,0.33,6.6,6.6,4.7,11.3,0.20,0.14,0.34,0.20,0.34,Matches,4e6dbac4
1662,Éder Militão,br BRA,DF,Real Madrid,es La Liga,21,1998,15,10,1022,11.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Matches,2784f898
1663,Luka Milivojević,rs SRB,MF,Crystal Palace,eng Premier League,28,1991,31,28,2513,27.9,3,1,1,2,2,12,0,0.11,0.04,0.14,0.04,0.07,2.7,1.2,2.1,3.3,0.10,0.08,0.17,0.04,0.12,Matches,2ce2508a
1664,Vincenzo Millico,it ITA,MFFW,Torino,it Serie A,18,2000,11,0,216,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.07,0.07,0.15,0.07,0.15,Matches,6817095b
1665,James Milner,eng ENG,MFDF,Liverpool,eng Premier League,33,1986,22,9,937,10.4,2,2,0,2,2,4,0,0.19,0.19,0.38,0.00,0.19,2.2,0.6,0.7,1.3,0.21,0.07,0.28,0.06,0.13,Matches,2f90f6b8
1666,Santi Mina,es ESP,FWMF,Celta Vigo,es La Liga,23,1995,34,21,1944,21.6,6,3,6,0,0,4,0,0.28,0.14,0.42,0.28,0.42,6.1,6.1,3.4,9.5,0.28,0.16,0.44,0.28,0.44,Matches,0b90bb97
1667,Yerry Mina,co COL,DF,Everton,eng Premier League,24,1994,29,25,2284,25.4,2,1,2,0,0,3,0,0.08,0.04,0.12,0.08,0.12,3.4,3.4,1.4,4.8,0.13,0.05,0.19,0.13,0.19,Matches,6d5701f2
1668,Takumi Minamino,jp JPN,FWMF,Liverpool,eng Premier League,24,1995,10,2,249,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.0,0.9,0.30,0.01,0.31,0.30,0.31,Matches,f833a830
1669,Tyrone Mings,eng ENG,DF,Aston Villa,eng Premier League,26,1993,33,33,2902,32.2,2,2,2,0,0,7,0,0.06,0.06,0.12,0.06,0.12,0.8,0.8,0.7,1.5,0.02,0.02,0.05,0.02,0.05,Matches,8397a50c
1670,Jorge Miramón,es ESP,DF,Levante,es La Liga,30,1989,32,27,2432,27.0,0,3,0,0,0,4,1,0.00,0.11,0.11,0.00,0.11,0.7,0.7,2.4,3.1,0.02,0.09,0.11,0.02,0.11,Matches,7f4c7c9f
1671,Juan Miranda,es ESP,DF,Schalke 04,de Bundesliga,19,2000,11,8,781,8.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.6,0.7,0.02,0.07,0.09,0.02,0.09,Matches,ead61f73
1672,Antonio Mirante,it ITA,GK,Roma,it Serie A,36,1983,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,30223b33
1673,Simone Missiroli,it ITA,MF,SPAL,it Serie A,33,1986,34,31,2798,31.1,1,0,1,0,0,7,0,0.03,0.00,0.03,0.03,0.03,0.7,0.7,1.2,1.9,0.02,0.04,0.06,0.02,0.06,Matches,331c0a43
1674,Tyrick Mitchell,eng ENG,DF,Crystal Palace,eng Premier League,19,1999,4,2,195,2.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.08,0.08,0.00,0.08,Matches,5cbd1eb0
1675,Stefan Mitrović,rs SRB,DF,Strasbourg,fr Ligue 1,29,1990,23,23,2053,22.8,1,1,1,0,0,4,0,0.04,0.04,0.09,0.04,0.09,0.4,0.4,0.7,1.1,0.02,0.03,0.05,0.02,0.05,Matches,e6777e6b
1676,Maximilian Mittelstädt,de GER,DFFW,Hertha BSC,de Bundesliga,22,1997,26,19,1887,21.0,1,3,1,0,0,4,0,0.05,0.14,0.19,0.05,0.19,0.9,0.9,1.7,2.6,0.04,0.08,0.13,0.04,0.13,Matches,88d4144a
1677,Henrikh Mkhitaryan,am ARM,FW,Arsenal,eng Premier League,30,1989,3,1,112,1.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.3,0.6,0.26,0.21,0.47,0.26,0.47,Matches,dd0daf32
1678,Henrikh Mkhitaryan,am ARM,MFFW,Roma,it Serie A,30,1989,22,16,1530,17.0,9,5,9,0,0,5,0,0.53,0.29,0.82,0.53,0.82,5.7,5.7,3.0,8.7,0.34,0.17,0.51,0.34,0.51,Matches,dd0daf32
1679,Anthony Modeste,fr FRA,FW,Köln,de Bundesliga,31,1988,27,11,1138,12.6,4,1,4,0,0,1,0,0.32,0.08,0.40,0.32,0.40,4.3,4.3,0.6,4.9,0.34,0.05,0.39,0.34,0.39,Matches,34e4343c
1680,Luka Modrić,hr CRO,MF,Real Madrid,es La Liga,33,1985,31,22,1996,22.2,3,7,3,0,0,7,1,0.14,0.32,0.45,0.14,0.45,1.5,1.5,3.3,4.9,0.07,0.15,0.22,0.07,0.22,Matches,6025fab1
1681,Kevin Möhwald,de GER,MF,Werder Bremen,de Bundesliga,26,1993,1,0,74,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.12,0.00,0.12,0.12,0.12,Matches,a5ce09f2
1682,Niklas Moisander,fi FIN,DF,Werder Bremen,de Bundesliga,33,1985,22,22,1979,22.0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.2,1.3,0.05,0.01,0.06,0.05,0.06,Matches,00844823
1683,Jorge Molina,es ESP,FW,Getafe,es La Liga,37,1982,34,23,1886,21.0,5,3,3,2,2,6,1,0.24,0.14,0.38,0.14,0.29,6.3,4.7,3.3,8.1,0.30,0.16,0.46,0.22,0.38,Matches,43f71e77
1684,Florent Mollet,fr FRA,MFFW,Montpellier,fr Ligue 1,27,1991,25,19,1684,18.7,6,3,6,0,0,5,0,0.32,0.16,0.48,0.32,0.48,3.0,3.0,5.1,8.1,0.16,0.27,0.43,0.16,0.43,Matches,7e82a78f
1685,Jon Moncayola,es ESP,MFDF,Osasuna,es La Liga,21,1998,27,15,1496,16.6,1,0,1,0,0,4,0,0.06,0.00,0.06,0.06,0.06,0.5,0.5,0.6,1.1,0.03,0.04,0.07,0.03,0.07,Matches,9939e168
