,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,-9999
156,Sergio Rico,es ESP,GK,Paris S-G,fr Ligue 1,25,1993,2,2,180,2.0,4,2.00,10,6,60.0,2,0,0,0,0.0,0,0,0,0,,Matches,5f0241b2
157,Roberto,es ESP,GK,West Ham,eng Premier League,33,1986,8,7,687,7.6,17,2.23,51,35,68.6,0,1,6,0,0.0,1,1,0,0,0.0,Matches,ba3ca78f
158,Roberto,es ESP,GK,Alavés,es La Liga,33,1986,9,8,790,8.8,19,2.16,54,35,70.4,2,1,5,2,25.0,3,3,0,0,0.0,Matches,ba3ca78f
159,Joel Robles,es ESP,GK,Betis,es La Liga,29,1990,33,33,2887,32.1,48,1.50,130,83,71.5,9,11,12,5,15.2,11,11,0,0,0.0,Matches,cda0b317
160,Antonio Rosati,it ITA,GK,Torino,it Serie A,36,1983,1,1,90,1.0,1,1.00,5,4,80.0,0,1,0,0,0.0,0,0,0,0,,Matches,28a15394
161,Francesco Rossi,it ITA,GK,Atalanta,it Serie A,28,1991,1,0,11,0.1,1,8.18,1,0,0.0,0,0,0,0,,0,0,0,0,,Matches,7b5f516f
162,Rubén,es ESP,GK,Osasuna,es La Liga,35,1984,19,18,1583,17.6,24,1.36,54,30,61.1,5,8,4,4,22.2,3,3,0,0,0.0,Matches,24279b8b
163,Stéphane Ruffier,fr FRA,GK,Saint-Étienne,fr Ligue 1,32,1986,22,22,1980,22.0,40,1.82,100,60,63.0,6,4,12,3,13.6,4,3,0,1,0.0,Matches,cac76a72
164,Gerónimo Rulli,ar ARG,GK,Montpellier,fr Ligue 1,27,1992,25,25,2250,25.0,27,1.08,119,91,79.8,11,7,7,8,32.0,5,3,2,0,40.0,Matches,625c144a
165,Mathew Ryan,au AUS,GK,Brighton,eng Premier League,27,1992,38,38,3420,38.0,54,1.42,168,116,69.0,9,14,15,9,23.7,2,2,0,0,0.0,Matches,4535e4bb
166,Frederik Rønnow,dk DEN,GK,Eint Frankfurt,de Bundesliga,26,1992,9,9,810,9.0,14,1.56,49,35,75.5,2,3,4,1,11.1,2,2,0,0,0.0,Matches,a70b8345
